ContractNumber|PlanID|SSAStateCountyCode|FIPSStateCountyCode|State|County|Enrollment|EnrollmentSerial|id|ContractNumber|PlanID|OrganizationType|PlanType|OffersPartD|SNPPlan|EGHP|OrganizationName|OrganizationMarketingName|PlanName|ParentOrganization|ContractEffectiveDate|ContractSerial|id
H0543|163|5060|06013|CA|Contra Costa|4622|98500|H0543 - 163|H0543|163|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|AARP Medicare Advantage SecureHorizons Focus (HMO)|UnitedHealth Group, Inc.|06/01/1985|369|H0543 - 163
S4802|134|3120|04025|AZ|Yavapai|4613|2724066|S4802 - 134|S4802|134|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7034|S4802 - 134
S5601|811|33520|36067|NY|Onondaga|4610|2883660|S5601 - 811|S5601|811|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group - State of NY (PDP)|CVS Health Corporation|01/01/2006|7261|S5601 - 811
S5601|186|10510|12103|FL|Pinellas|4602|2841592|S5601 - 186|S5601|186|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7226|S5601 - 186
S5884|157|10490|12099|FL|Palm Beach|4597|3284296|S5884 - 157|S5884|157|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Premier Rx Plan (PDP)|Humana Inc.|01/01/2006|7581|S5884 - 157
S4802|149|36780|39153|OH|Summit|4591|2727718|S4802 - 149|S4802|149|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7049|S4802 - 149
S5601|815|45940|48453|TX|Travis|4587|2897248|S5601 - 815|S5601|815|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7265|S5601 - 815
H5521|801|33240|36029|NY|Erie|4585|1867983|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S5921|399|26940|29189|MO|St. Louis|4576|3334843|S5921 - 399|S5921|399|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7699|S5921 - 399
S5820|833|45130|48029|TX|Bexar|4571|3249310|S5820 - 833|S5820|833|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|UNITEDHEALTHCARE INSURANCE COMPANY|UnitedHealthcare|UnitedHealthcare MedicareRx for Groups (PDP)|UnitedHealth Group, Inc.|01/01/2006|7531|S5820 - 833
S4802|146|10150|12031|FL|Duval|4569|2726419|S4802 - 146|S4802|146|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7046|S4802 - 146
H5619|111|4030|05007|AR|Benton|4566|2012495|H5619 - 111|H5619|111|Local CCP|HMO/HMOPOS|Yes|No|No|ARCADIAN HEALTH PLAN, INC.|Humana|Humana Gold Plus H5619-111 (HMO)|Humana Inc.|01/01/2007|5174|H5619 - 111
S5884|201|45310|48085|TX|Collin|4566|3297729|S5884 - 201|S5884|201|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7625|S5884 - 201
S5921|382|33800|36119|NY|Westchester|4559|3330868|S5921 - 382|S5921|382|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7682|S5921 - 382
S4802|141|39110|42011|PA|Berks|4551|2724997|S4802 - 141|S4802|141|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7041|S4802 - 141
H5521|801|39010|42003|PA|Allegheny|4549|1868386|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S5921|413|5400|06059|CA|Orange|4545|3337534|S5921 - 413|S5921|413|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7713|S5921 - 413
S4802|155|45530|48157|TX|Fort Bend|4544|2730133|S4802 - 155|S4802|155|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7055|S4802 - 155
S4802|160|6200|08041|CO|El Paso|4538|2731588|S4802 - 160|S4802|160|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7060|S4802 - 160
H2001|817|18330|21067|KY|Fayette|4537|499314|H2001 - 817|H2001|817|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1631|H2001 - 817
S4802|163|5000|06001|CA|Alameda|4536|2731928|S4802 - 163|S4802|163|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7063|S4802 - 163
S5601|801|39270|42041|PA|Cumberland|4531|2852265|S5601 - 801|S5601|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group (PDP)|CVS Health Corporation|01/01/2006|7251|S5601 - 801
S5660|803|18330|21067|KY|Fayette|4530|2962706|S5660 - 803|S5660|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7385|S5660 - 803
H3362|820|33240|36029|NY|Erie|4525|1132828|H3362 - 820|H3362|820|Local CCP|HMO/HMOPOS|No|No|Yes|INDEPENDENT HEALTH ASSOCIATION, INC.|Independent Health|Independent Health's Medicare Encompass (HMO-POS)|Independent Health Association, Inc.|01/01/1996|2728|H3362 - 820
S4802|162|46170|49035|UT|Salt Lake|4524|2731885|S4802 - 162|S4802|162|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7062|S4802 - 162
S5884|102|22040|25009|MA|Essex|4524|3266004|S5884 - 102|S5884|102|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7540|S5884 - 102
H1032|205|10150|12031|FL|Duval|4521|229009|H1032 - 205|H1032|205|Local CCP|HMO/HMOPOS|Yes|No|No|Sunshine State Health Plan, Inc.|Wellcare|Wellcare No Premium (HMO)|Centene Corporation|01/01/2000|851|H1032 - 205
S5660|806|33500|36063|NY|Niagara|4518|2969881|S5660 - 806|S5660|806|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7387|S5660 - 806
S5884|102|22170|25027|MA|Worcester|4511|3266013|S5884 - 102|S5884|102|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7540|S5884 - 102
S8841|803|5470|06073|CA|San Diego|4511|3490147|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S5884|114|5640|06107|CA|Tulare|4509|3271578|S5884 - 114|S5884|114|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7552|S5884 - 114
S4802|139|31150|34005|NJ|Burlington|4503|2724730|S4802 - 139|S4802|139|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7039|S4802 - 139
H5521|801|36770|39151|OH|Stark|4492|1868259|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
H1036|102|10500|12101|FL|Pasco|4489|230532|H1036 - 102|H1036|102|Local CCP|HMO/HMOPOS|Yes|Yes|No|HUMANA MEDICAL PLAN, INC.|Humana|Humana Gold Plus SNP-DE H1036-102 (HMO D-SNP)|Humana Inc.|02/01/1986|909|H1036 - 102
S5660|803|46170|49035|UT|Salt Lake|4482|2964475|S5660 - 803|S5660|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7385|S5660 - 803
S5601|181|39440|42071|PA|Lancaster|4481|2839665|S5601 - 181|S5601|181|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7221|S5601 - 181
H0543|164|5200|06037|CA|Los Angeles|4479|98506|H0543 - 164|H0543|164|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|AARP Medicare Advantage SecureHorizons Premier (HMO)|UnitedHealth Group, Inc.|06/01/1985|370|H0543 - 164
S5884|211|5430|06065|CA|Riverside|4479|3300379|S5884 - 211|S5884|211|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7635|S5884 - 211
S5884|203|17860|20173|KS|Sedgwick|4474|3298426|S5884 - 203|S5884|203|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7627|S5884 - 203
S8841|803|5430|06065|CA|Riverside|4469|3490143|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
H0524|806|5080|06017|CA|El Dorado|4465|97895|H0524 - 806|H0524|806|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|336|H0524 - 806
H0630|807|6150|08031|CO|Denver|4460|108673|H0630 - 807|H0630|807|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP OF CO|Kaiser Permanente|Senior Advantage Group MA-PD (HMO)|Kaiser Foundation Health Plan, Inc.|01/01/1986|590|H0630 - 807
S4802|140|8020|10005|DE|Sussex|4451|2724807|S4802 - 140|S4802|140|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7040|S4802 - 140
S4802|142|49290|51059|VA|Fairfax|4449|2725312|S4802 - 142|S4802|142|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7042|S4802 - 142
H5521|272|10100|12021|FL|Collier|4444|1863180|H5521 - 272|H5521|272|Local CCP|Local PPO|Yes|No|No|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Premier Plus (PPO)|CVS Health Corporation|01/01/2006|4862|H5521 - 272
H5216|805|34310|37063|NC|Durham|4439|1783386|H5216 - 805|H5216|805|Local CCP|Local PPO|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4356|H5216 - 805
H5216|805|34330|37067|NC|Forsyth|4433|1783388|H5216 - 805|H5216|805|Local CCP|Local PPO|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4356|H5216 - 805
H5521|801|10280|12057|FL|Hillsborough|4425|1866488|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S5660|801|5200|06037|CA|Los Angeles|4423|2955502|S5660 - 801|S5660|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7383|S5660 - 801
S5921|382|33590|36081|NY|Queens|4409|3330849|S5921 - 382|S5921|382|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7682|S5921 - 382
H5521|802|15630|18127|IN|Porter|4408|1870174|H5521 - 802|H5521|802|Local CCP|Local PPO|Yes|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan w/Rx (PPO)|CVS Health Corporation|01/01/2006|4929|H5521 - 802
S5660|801|30060|33013|NH|Merrimack|4405|2957068|S5660 - 801|S5660|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7383|S5660 - 801
H0524|805|5140|06029|CA|Kern|4404|97647|H0524 - 805|H0524|805|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|335|H0524 - 805
H9572|802|23180|26037|MI|Clinton|4403|2484523|H9572 - 802|H9572|802|Local CCP|Local PPO|No|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6681|H9572 - 802
S5660|801|33800|36119|NY|Westchester|4400|2957185|S5660 - 801|S5660|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7383|S5660 - 801
H0543|146|5410|06061|CA|Placer|4399|98438|H0543 - 146|H0543|146|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|AARP Medicare Advantage SecureHorizons Focus 1 (HMO)|UnitedHealth Group, Inc.|06/01/1985|363|H0543 - 146
H9572|802|23430|26087|MI|Lapeer|4399|2484548|H9572 - 802|H9572|802|Local CCP|Local PPO|No|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6681|H9572 - 802
H1019|103|10520|12105|FL|Polk|4393|228101|H1019 - 103|H1019|103|Local CCP|HMO/HMOPOS|Yes|No|No|CAREPLUS HEALTH PLANS, INC.|CarePlus Health Plans, Inc.|CareOne PLUS (HMO)|Humana Inc.|02/01/1998|810|H1019 - 103
S5921|348|22040|25009|MA|Essex|4378|3320388|S5921 - 348|S5921|348|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Saver Plus (PDP)|UnitedHealth Group, Inc.|01/01/2006|7648|S5921 - 348
S5601|805|33590|36081|NY|Queens|4375|2864569|S5601 - 805|S5601|805|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7255|S5601 - 805
S5660|802|36780|39153|OH|Summit|4375|2960631|S5660 - 802|S5660|802|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7384|S5660 - 802
S5660|802|36310|39061|OH|Hamilton|4369|2960585|S5660 - 802|S5660|802|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7384|S5660 - 802
S5966|803|33800|36119|NY|Westchester|4366|3362111|S5966 - 803|S5966|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|EMBLEMHEALTH PLAN, INC|EmblemHealth Medicare PDP|EmblemHealth National Drug Plan (PDP)|EmblemHealth, Inc.|01/01/2006|7726|S5966 - 803
H2001|816|32000|35001|NM|Bernalillo|4362|496813|H2001 - 816|H2001|816|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1630|H2001 - 816
S4802|146|10630|12127|FL|Volusia|4362|2726468|S4802 - 146|S4802|146|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7046|S4802 - 146
H5216|805|34100|37021|NC|Buncombe|4350|1783365|H5216 - 805|H5216|805|Local CCP|Local PPO|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4356|H5216 - 805
S5601|181|39290|42045|PA|Delaware|4346|2839652|S5601 - 181|S5601|181|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7221|S5601 - 181
S5617|801|21020|24005|MD|Baltimore|4341|2943797|S5617 - 801|S5617|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Rx Medicare (PDP)|CIGNA|01/01/2006|7379|S5617 - 801
S4802|144|42220|45045|SC|Greenville|4338|2725953|S4802 - 144|S4802|144|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7044|S4802 - 144
H9572|802|23080|26017|MI|Bay|4332|2484513|H9572 - 802|H9572|802|Local CCP|Local PPO|No|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6681|H9572 - 802
S5884|114|5520|06083|CA|Santa Barbara|4331|3271566|S5884 - 114|S5884|114|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7552|S5884 - 114
S5884|185|39560|42091|PA|Montgomery|4328|3291667|S5884 - 185|S5884|185|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7609|S5884 - 185
H3362|801|33240|36029|NY|Erie|4326|1126480|H3362 - 801|H3362|801|Local CCP|HMO/HMOPOS|Yes|No|Yes|INDEPENDENT HEALTH ASSOCIATION, INC.|Independent Health|Independent Health's Medicare Encompass (HMO-POS)|Independent Health Association, Inc.|01/01/1996|2725|H3362 - 801
H3832|807|12020|15003|HI|Honolulu|4323|1287694|H3832 - 807|H3832|807|Local CCP|Local PPO|Yes|No|Yes|HAWAII MEDICAL SERVICE ASSOCIATION|HMSA Akamai Advantage|HMSA Akamai Advantage Union Group Plan MAPD (PPO)|Hawaii Medical Service Association|01/01/2011|3160|H3832 - 807
S5601|183|34590|37119|NC|Mecklenburg|4315|2840514|S5601 - 183|S5601|183|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7223|S5601 - 183
S5884|114|5370|06053|CA|Monterey|4315|3271551|S5884 - 114|S5884|114|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7552|S5884 - 114
E3014|801|39440|42071|PA|Lancaster|4313|5525|E3014 - 801|E3014|801|Employer/Union Only Direct Contract PDP|Employer/Union Only Direct Contract PDP|Yes|No|Yes|PSERS HOP PROGRAM|Pennsylvania Public School Employees Retirement Sy|PSERS Health Options Program (Employer PDP)|Commonwealth of PA Pub Schools Retirement System|01/01/2007|3|E3014 - 801
S8841|803|3060|04013|AZ|Maricopa|4313|3490027|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S4802|132|52660|55133|WI|Waukesha|4312|2723936|S4802 - 132|S4802|132|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7032|S4802 - 132
S5921|383|10120|12086|FL|Miami-Dade|4312|3330957|S5921 - 383|S5921|383|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7683|S5921 - 383
H2001|817|36310|39061|OH|Hamilton|4308|500361|H2001 - 817|H2001|817|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1631|H2001 - 817
S5601|190|18550|21111|KY|Jefferson|4308|2843809|S5601 - 190|S5601|190|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7230|S5601 - 190
H2001|817|33700|36103|NY|Suffolk|4296|500167|H2001 - 817|H2001|817|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1631|H2001 - 817
S5884|210|46170|49035|UT|Salt Lake|4295|3300294|S5884 - 210|S5884|210|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7634|S5884 - 210
S4802|225|45610|48201|TX|Harris|4293|2738392|S4802 - 225|S4802|225|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Medicare Rx Value Plus (PDP)|Centene Corporation|01/01/2006|7087|S4802 - 225
H5521|801|3060|04013|AZ|Maricopa|4291|1866243|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S5601|207|5520|06083|CA|Santa Barbara|4288|2849578|S5601 - 207|S5601|207|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7247|S5601 - 207
S5884|178|5470|06073|CA|San Diego|4288|3290833|S5884 - 178|S5884|178|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Premier Rx Plan (PDP)|Humana Inc.|01/01/2006|7602|S5884 - 178
H5521|120|33590|36081|NY|Queens|4285|1858987|H5521 - 120|H5521|120|Local CCP|Local PPO|Yes|No|No|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Elite Plan (PPO)|CVS Health Corporation|01/01/2006|4781|H5521 - 120
